CBM_Type,Training_Mode,Alpha,k,Run,Leakage,Warning,num_sim,n,d
soft,joint,100.0,100,2,0.003217187632668983,False,15,2000,700
soft,joint,100.0,100,3,0.005698050205214411,False,15,2000,700
soft,joint,100.0,100,4,0.0033182843784400617,False,15,2000,700
soft,joint,100.0,100,5,0.005075377537735681,False,15,2000,700
soft,joint,100.0,100,6,0.0034452976940728686,False,15,2000,700
soft,joint,100.0,100,7,0.005989049520509493,False,15,2000,700
soft,joint,100.0,100,8,0.010024862302767223,False,15,2000,700
soft,joint,100.0,100,9,0.003318546666973843,False,15,2000,700
soft,joint,100.0,100,10,0.007768273248753399,False,15,2000,700
soft,joint,100.0,100,11,0.009031432334180023,False,15,2000,700
soft,joint,100.0,100,12,0.0020004767955212888,False,15,2000,700
soft,joint,100.0,100,13,0.010578867189619645,False,15,2000,700
soft,joint,100.0,100,14,0.004866843327285597,False,15,2000,700
soft,joint,100.0,100,15,0.009298672877017466,False,15,2000,700
soft,joint,100.0,200,1,0.014851572010837533,False,15,2000,700
soft,joint,100.0,200,2,0.003972665016203525,False,15,2000,700
soft,joint,100.0,200,3,0.014307669891139296,False,15,2000,700
soft,joint,100.0,200,4,0.014767047907489284,False,15,2000,700
soft,joint,100.0,200,5,0.00809913353161007,False,15,2000,700
soft,joint,100.0,200,6,0.012497146530031866,False,15,2000,700
soft,joint,100.0,200,7,0.012304504577791864,False,15,2000,700
soft,joint,100.0,200,8,0.003316518077276065,False,15,2000,700
soft,joint,100.0,200,9,0.006764438400151285,False,15,2000,700
soft,joint,100.0,200,10,0.010213026805567349,False,15,2000,700
soft,joint,100.0,200,11,0.011104181287867831,False,15,2000,700
soft,joint,100.0,200,12,0.003161914496957907,False,15,2000,700
soft,joint,100.0,200,13,0.0036376470728618493,False,15,2000,700
soft,joint,100.0,200,14,0.005551425504774388,False,15,2000,700
soft,joint,100.0,200,15,0.01665364011276882,False,15,2000,700
soft,joint,200.0,10,1,0.0018114661861035053,False,15,2000,700
soft,joint,200.0,10,2,0.007714902341422913,False,15,2000,700
soft,joint,200.0,10,3,0.0016373392144795051,False,15,2000,700
soft,joint,200.0,10,4,-0.0005414619511994179,False,15,2000,700
soft,joint,200.0,10,5,0.002203387382322841,False,15,2000,700
soft,joint,200.0,10,6,0.005283673383194909,False,15,2000,700
soft,joint,200.0,10,7,0.0021271008191801055,False,15,2000,700
soft,joint,200.0,10,8,0.0008985524797733291,False,15,2000,700
soft,joint,200.0,10,9,0.00055316527179472,False,15,2000,700
soft,joint,200.0,10,10,0.0023069655842595793,False,15,2000,700
soft,joint,200.0,10,11,0.0002633422205922109,False,15,2000,700
soft,joint,200.0,10,12,0.002774462155825441,False,15,2000,700
soft,joint,200.0,10,13,0.004516905906949198,False,15,2000,700
soft,joint,200.0,10,14,0.002038459287955874,False,15,2000,700
soft,joint,200.0,10,15,0.0035162460245048432,False,15,2000,700
soft,joint,200.0,20,1,0.004238224635419119,False,15,2000,700
soft,joint,200.0,20,2,-0.0008386200495589247,False,15,2000,700
soft,joint,200.0,20,3,0.002369630923577226,False,15,2000,700
soft,joint,200.0,20,4,0.00537910481754178,False,15,2000,700
soft,joint,200.0,20,5,0.005907751913985626,False,15,2000,700
soft,joint,200.0,20,6,0.002971688372765291,False,15,2000,700
soft,joint,200.0,20,7,0.0033480393537232978,False,15,2000,700
soft,joint,200.0,20,8,0.008485358883182803,False,15,2000,700
soft,joint,200.0,20,9,-0.001863505988674019,False,15,2000,700
soft,joint,200.0,20,10,0.0022727273302947104,False,15,2000,700
soft,joint,200.0,20,11,0.006234271929351554,False,15,2000,700
